Date;Product Name;Category;Units Sold;Price;Revenue;Discount;Units Returned;Location;Platform
27/01/2020;Magnesium;Mineral;135;3055;412425;9;3;USA;Amazon
27/01/2020;Ashwagandha;Herbal;174;3094;538356;7;2;Canada;Amazon
27/01/2020;Melatonin;Sleep Aid;156;3827;597012;12;4;UK;iHerb
27/01/2020;Biotin;Vitamin;154;157;24178;4;1;UK;Walmart
27/01/2020;Green Tea Extract;Fat Burner;141;3806;536646;13;0;UK;iHerb
27/01/2020;Iron Supplement;Mineral;165;1338;22077;18;2;USA;iHerb
27/01/2020;Electrolyte Powder;Hydration;129;3423;441567;4;3;Canada;Amazon
03/02/2020;Whey Protein;Protein;165;3311;546315;1;2;Canada;iHerb
03/02/2020;Vitamin C;Vitamin;152;3563;541576;2;1;UK;Amazon
03/02/2020;Fish Oil;Omega;138;1824;251712;8;2;UK;Amazon
03/02/2020;Multivitamin;Vitamin;151;5389;813739;22;3;UK;Amazon
03/02/2020;Pre-Workout;Performance;140;5925;82950;19;0;UK;Amazon
03/02/2020;BCAA;Amino Acid;126;5546;698796;13;1;USA;iHerb
03/02/2020;Creatine;Performance;132;5111;674652;1;2;Canada;Amazon
03/02/2020;Zinc;Mineral;184;3617;665528;7;3;Canada;Amazon
03/02/2020;Collagen Peptides;Protein;153;499;76347;1;3;UK;Amazon
03/02/2020;Magnesium;Mineral;151;4479;676329;2;1;Canada;Amazon
03/02/2020;Ashwagandha;Herbal;135;1921;259335;22;2;UK;Amazon
03/02/2020;Melatonin;Sleep Aid;135;4076;55026;2;3;Canada;iHerb
03/02/2020;Biotin;Vitamin;162;5836;945432;1;5;UK;Amazon
03/02/2020;Green Tea Extract;Fat Burner;156;183;28548;22;1;UK;iHerb
03/02/2020;Iron Supplement;Mineral;136;3799;516664;13;2;USA;Amazon
03/02/2020;Electrolyte Powder;Hydration;168;4657;782376;5;3;Canada;iHerb
10/02/2020;Whey Protein;Protein;163;4551;741813;8;1;UK;iHerb
10/02/2020;Vitamin C;Vitamin;163;2789;454607;12;3;UK;Amazon
10/02/2020;Fish Oil;Omega;144;456;65664;21;0;Canada;Amazon
10/02/2020;Multivitamin;Vitamin;140;274;38360;11;2;UK;Walmart
10/02/2020;Pre-Workout;Performance;155;2762;42811;21;1;USA;iHerb
10/02/2020;BCAA;Amino Acid;134;2626;351884;17;0;UK;Amazon
10/02/2020;Creatine;Performance;137;2136;292632;21;1;Canada;iHerb
10/02/2020;Zinc;Mineral;155;3563;552265;8;1;UK;Amazon
10/02/2020;Collagen Peptides;Protein;155;5356;83018;19;2;UK;Walmart
10/02/2020;Magnesium;Mineral;156;5536;863616;17;2;UK;iHerb
10/02/2020;Ashwagandha;Herbal;132;3302;435864;22;1;USA;iHerb
10/02/2020;Melatonin;Sleep Aid;146;1554;226884;11;0;Canada;Amazon
10/02/2020;Biotin;Vitamin;142;2461;349462;23;2;UK;iHerb
10/02/2020;Green Tea Extract;Fat Burner;162;5814;941868;18;1;UK;Walmart
10/02/2020;Iron Supplement;Mineral;163;5364;874332;3;2;USA;Walmart
10/02/2020;Electrolyte Powder;Hydration;151;2209;333559;0;1;USA;Amazon
17/02/2020;Whey Protein;Protein;143;2486;355498;7;2;Canada;iHerb
17/02/2020;Vitamin C;Vitamin;165;3966;65439;22;0;Canada;iHerb
17/02/2020;Fish Oil;Omega;129;4973;641517;1;1;Canada;Walmart
17/02/2020;Multivitamin;Vitamin;151;5157;778707;15;0;USA;Amazon
17/02/2020;Pre-Workout;Performance;131;4346;569326;21;3;USA;Walmart
17/02/2020;BCAA;Amino Acid;152;3152;479104;8;1;UK;Amazon
17/02/2020;Creatine;Performance;160;5463;87408;11;2;UK;Amazon
17/02/2020;Zinc;Mineral;155;4513;699515;6;1;USA;iHerb
17/02/2020;Collagen Peptides;Protein;132;3438;453816;16;3;Canada;Walmart
17/02/2020;Magnesium;Mineral;154;3531;543774;16;0;USA;Amazon
17/02/2020;Ashwagandha;Herbal;141;3362;474042;1;0;USA;iHerb
17/02/2020;Melatonin;Sleep Aid;144;198;28512;15;1;USA;iHerb
17/02/2020;Biotin;Vitamin;139;1028;142892;0;0;USA;Walmart
17/02/2020;Green Tea Extract;Fat Burner;117;2694;315198;2;1;Canada;Amazon
17/02/2020;Iron Supplement;Mineral;150;5659;84885;1;0;UK;Amazon
17/02/2020;Electrolyte Powder;Hydration;154;2726;419804;13;3;Canada;Amazon
24/02/2020;Whey Protein;Protein;150;5964;89460;3;1;UK;Walmart
24/02/2020;Vitamin C;Vitamin;146;3055;44603;23;2;UK;iHerb
24/02/2020;Fish Oil;Omega;154;5119;788326;24;3;USA;Amazon
24/02/2020;Multivitamin;Vitamin;123;1298;159654;15;2;USA;Walmart
24/02/2020;Pre-Workout;Performance;133;3281;436373;9;0;Canada;Amazon
24/02/2020;BCAA;Amino Acid;147;1355;199185;2;1;UK;Amazon
24/02/2020;Creatine;Performance;175;4393;768775;9;2;UK;Amazon
24/02/2020;Zinc;Mineral;170;5368;91256;18;0;UK;iHerb
24/02/2020;Collagen Peptides;Protein;169;367;62023;4;0;Canada;iHerb
24/02/2020;Magnesium;Mineral;147;343;50421;14;0;UK;iHerb
24/02/2020;Ashwagandha;Herbal;133;2716;361228;18;2;UK;iHerb
24/02/2020;Melatonin;Sleep Aid;164;315;51660;17;1;Canada;iHerb
24/02/2020;Biotin;Vitamin;143;3232;462176;2;2;USA;iHerb
24/02/2020;Green Tea Extract;Fat Burner;147;3911;574917;9;2;UK;iHerb
24/02/2020;Iron Supplement;Mineral;158;2873;453934;4;1;UK;Amazon
24/02/2020;Electrolyte Powder;Hydration;135;2729;368415;4;0;Canada;Amazon
02/03/2020;Whey Protein;Protein;155;2703;418965;2;1;Canada;Amazon
02/03/2020;Vitamin C;Vitamin;143;4029;576147;9;0;Canada;iHerb
02/03/2020;Fish Oil;Omega;157;3428;538196;1;1;Canada;iHerb
02/03/2020;Multivitamin;Vitamin;184;1195;21988;1;1;UK;iHerb
02/03/2020;Pre-Workout;Performance;136;4781;650216;11;1;USA;Walmart
02/03/2020;BCAA;Amino Acid;169;578;97682;8;3;Canada;Amazon
02/03/2020;Creatine;Performance;154;592;91168;7;4;Canada;iHerb
02/03/2020;Zinc;Mineral;146;2702;394492;14;0;UK;Amazon
02/03/2020;Collagen Peptides;Protein;152;481;73112;21;1;UK;Amazon
02/03/2020;Magnesium;Mineral;143;1973;282139;1;1;USA;Amazon
02/03/2020;Ashwagandha;Herbal;152;3902;593104;3;1;USA;Amazon
02/03/2020;Melatonin;Sleep Aid;154;3009;463386;25;3;Canada;Amazon
02/03/2020;Biotin;Vitamin;154;4103;631862;5;1;UK;Amazon
02/03/2020;Green Tea Extract;Fat Burner;151;582;87882;23;2;USA;Walmart
02/03/2020;Iron Supplement;Mineral;151;1653;249603;2;0;UK;Amazon
02/03/2020;Electrolyte Powder;Hydration;161;5385;866985;24;0;USA;Amazon
09/03/2020;Whey Protein;Protein;149;3417;509133;22;2;USA;Walmart
09/03/2020;Vitamin C;Vitamin;145;2016;29232;19;1;Canada;iHerb
09/03/2020;Fish Oil;Omega;150;3886;58290;22;4;UK;Walmart
09/03/2020;Multivitamin;Vitamin;147;4823;708981;14;4;UK;Walmart
09/03/2020;Pre-Workout;Performance;138;527;72726;11;3;Canada;Amazon
09/03/2020;BCAA;Amino Acid;168;5417;910056;11;2;Canada;Amazon
09/03/2020;Creatine;Performance;154;1096;168784;12;2;USA;Amazon
09/03/2020;Zinc;Mineral;158;1672;264176;7;1;USA;iHerb
09/03/2020;Collagen Peptides;Protein;162;2054;332748;24;0;UK;Amazon
09/03/2020;Magnesium;Mineral;163;1072;174736;18;3;UK;iHerb
09/03/2020;Ashwagandha;Herbal;159;4767;757953;19;2;Canada;iHerb
09/03/2020;Melatonin;Sleep Aid;160;4068;65088;2;1;UK;Walmart
09/03/2020;Biotin;Vitamin;128;3036;388608;2;1;USA;Walmart
09/03/2020;Green Tea Extract;Fat Burner;132;5738;757416;2;3;USA;Amazon
09/03/2020;Iron Supplement;Mineral;151;1384;208984;13;2;Canada;iHerb
09/03/2020;Electrolyte Powder;Hydration;158;1365;21567;1;1;Canada;Amazon
16/03/2020;Whey Protein;Protein;140;5017;70238;23;1;Canada;iHerb
16/03/2020;Vitamin C;Vitamin;169;3382;571558;6;2;Canada;Walmart
16/03/2020;Fish Oil;Omega;145;1615;234175;22;1;Canada;Amazon
16/03/2020;Multivitamin;Vitamin;148;4124;610352;2;2;UK;Amazon
16/03/2020;Pre-Workout;Performance;140;5113;71582;2;1;USA;Walmart
16/03/2020;BCAA;Amino Acid;151;4877;736427;7;1;UK;Amazon
16/03/2020;Creatine;Performance;142;4148;589016;1;2;Canada;Amazon
16/03/2020;Zinc;Mineral;143;3556;508508;1;1;USA;Amazon
16/03/2020;Collagen Peptides;Protein;158;5197;821126;0;1;Canada;iHerb
16/03/2020;Magnesium;Mineral;159;1509;239931;9;1;Canada;iHerb
16/03/2020;Ashwagandha;Herbal;164;4945;81098;22;1;Canada;iHerb
16/03/2020;Melatonin;Sleep Aid;170;582;98940;2;2;Canada;Amazon
16/03/2020;Biotin;Vitamin;150;4164;62460;18;0;UK;iHerb
16/03/2020;Green Tea Extract;Fat Burner;136;4332;589152;24;2;UK;Walmart
16/03/2020;Iron Supplement;Mineral;178;249;44322;3;3;UK;iHerb
16/03/2020;Electrolyte Powder;Hydration;155;280;43400;24;1;USA;Amazon
23/03/2020;Whey Protein;Protein;148;2044;302512;9;1;UK;Walmart
23/03/2020;Vitamin C;Vitamin;147;5252;772044;5;2;Canada;Amazon
23/03/2020;Fish Oil;Omega;149;2079;309771;17;2;Canada;iHerb
23/03/2020;Multivitamin;Vitamin;142;4258;604636;18;1;Canada;Amazon
23/03/2020;Pre-Workout;Performance;155;4566;70773;5;3;Canada;Walmart
23/03/2020;BCAA;Amino Acid;142;129;18318;3;1;UK;Walmart
23/03/2020;Creatine;Performance;141;1073;151293;9;1;UK;iHerb
23/03/2020;Zinc;Mineral;147;3021;444087;13;2;UK;Amazon
23/03/2020;Collagen Peptides;Protein;156;487;75972;19;1;Canada;Amazon
23/03/2020;Magnesium;Mineral;162;2328;377136;0;1;UK;iHerb
23/03/2020;Ashwagandha;Herbal;160;274;43840;9;0;USA;Amazon
23/03/2020;Melatonin;Sleep Aid;143;5871;839553;21;0;Canada;iHerb
23/03/2020;Biotin;Vitamin;168;4902;823536;11;1;USA;Amazon
23/03/2020;Green Tea Extract;Fat Burner;143;2141;306163;6;1;Canada;Amazon
23/03/2020;Iron Supplement;Mineral;159;1289;204951;24;4;USA;Amazon
23/03/2020;Electrolyte Powder;Hydration;151;1378;208078;9;1;UK;Amazon
30/03/2020;Whey Protein;Protein;138;4112;567456;2;1;Canada;iHerb
30/03/2020;Vitamin C;Vitamin;135;418;56430;1;2;Canada;Amazon
30/03/2020;Fish Oil;Omega;141;5587;787767;7;1;USA;Amazon
30/03/2020;Multivitamin;Vitamin;168;1311;220248;4;0;UK;Amazon
30/03/2020;Pre-Workout;Performance;155;1671;259005;24;1;USA;Amazon
30/03/2020;BCAA;Amino Acid;140;4398;61572;2;1;UK;Walmart
30/03/2020;Creatine;Performance;162;3733;604746;11;0;USA;Amazon
30/03/2020;Zinc;Mineral;136;2046;278256;1;2;USA;Amazon
30/03/2020;Collagen Peptides;Protein;165;5803;957495;5;4;Canada;iHerb
30/03/2020;Magnesium;Mineral;141;3968;559488;2;2;UK;iHerb
30/03/2020;Ashwagandha;Herbal;160;3385;54160;18;1;USA;Walmart
30/03/2020;Melatonin;Sleep Aid;155;1813;281015;14;2;UK;iHerb
30/03/2020;Biotin;Vitamin;150;1045;15675;9;3;UK;Amazon
30/03/2020;Green Tea Extract;Fat Burner;140;211;29540;8;3;USA;iHerb
30/03/2020;Iron Supplement;Mineral;158;3144;496752;1;1;UK;iHerb
30/03/2020;Electrolyte Powder;Hydration;156;2444;381264;1;3;USA;Amazon
06/04/2020;Whey Protein;Protein;160;2962;47392;19;3;UK;iHerb
06/04/2020;Vitamin C;Vitamin;178;2786;495908;2;1;UK;Walmart
06/04/2020;Fish Oil;Omega;152;4283;651016;6;0;USA;Amazon
06/04/2020;Multivitamin;Vitamin;171;353;60363;6;0;USA;Amazon
06/04/2020;Pre-Workout;Performance;116;5334;618744;7;3;UK;Walmart
06/04/2020;BCAA;Amino Acid;153;390;59670;13;2;USA;Walmart
06/04/2020;Creatine;Performance;142;547;77674;24;3;USA;Walmart
06/04/2020;Zinc;Mineral;147;3382;497154;12;0;Canada;Amazon
06/04/2020;Collagen Peptides;Protein;153;2658;406674;21;0;Canada;iHerb
06/04/2020;Magnesium;Mineral;127;5704;724408;13;1;Canada;iHerb
06/04/2020;Ashwagandha;Herbal;162;2661;431082;17;2;Canada;Amazon
06/04/2020;Melatonin;Sleep Aid;156;5379;839124;13;1;USA;iHerb
06/04/2020;Biotin;Vitamin;147;1639;240933;19;0;UK;Amazon
06/04/2020;Green Tea Extract;Fat Burner;147;1273;187131;24;0;UK;Walmart
06/04/2020;Iron Supplement;Mineral;143;2152;307736;0;2;USA;Amazon
06/04/2020;Electrolyte Powder;Hydration;185;4315;798275;19;3;UK;iHerb
13/04/2020;Whey Protein;Protein;147;2626;386022;18;2;Canada;Walmart
13/04/2020;Vitamin C;Vitamin;137;551;75487;2;4;USA;Walmart
13/04/2020;Fish Oil;Omega;160;3953;63248;17;0;USA;iHerb
13/04/2020;Multivitamin;Vitamin;151;1837;277387;2;2;USA;Amazon
13/04/2020;Pre-Workout;Performance;178;2327;414206;15;1;USA;Amazon
13/04/2020;BCAA;Amino Acid;158;1513;239054;13;1;Canada;iHerb
13/04/2020;Creatine;Performance;145;5138;74501;17;2;UK;Walmart
13/04/2020;Zinc;Mineral;149;4473;666477;18;3;Canada;Amazon
13/04/2020;Collagen Peptides;Protein;142;1976;280592;9;1;USA;Amazon
13/04/2020;Magnesium;Mineral;157;381;59817;24;1;UK;iHerb
13/04/2020;Ashwagandha;Herbal;146;4931;719926;18;1;Canada;iHerb
13/04/2020;Melatonin;Sleep Aid;140;5086;71204;14;4;Canada;Walmart
13/04/2020;Biotin;Vitamin;123;4592;564816;22;0;UK;Amazon
13/04/2020;Green Tea Extract;Fat Burner;162;2983;483246;3;3;USA;Amazon
13/04/2020;Iron Supplement;Mineral;136;245;33320;22;2;Canada;Walmart
13/04/2020;Electrolyte Powder;Hydration;162;4124;668088;14;3;USA;Walmart
20/04/2020;Whey Protein;Protein;169;437;73853;1;2;USA;Walmart
20/04/2020;Vitamin C;Vitamin;142;2765;39263;16;1;Canada;iHerb
20/04/2020;Fish Oil;Omega;159;1342;213378;2;1;UK;iHerb
20/04/2020;Multivitamin;Vitamin;148;2662;393976;1;1;USA;Amazon
20/04/2020;Pre-Workout;Performance;176;4357;766832;16;1;USA;Walmart
20/04/2020;BCAA;Amino Acid;147;1507;221529;7;1;USA;iHerb
20/04/2020;Creatine;Performance;148;1338;198024;13;0;Canada;Walmart
20/04/2020;Zinc;Mineral;188;3018;567384;18;2;USA;iHerb
20/04/2020;Collagen Peptides;Protein;147;2988;439236;7;0;USA;iHerb
20/04/2020;Magnesium;Mineral;149;2437;363113;16;4;USA;Amazon
20/04/2020;Ashwagandha;Herbal;154;1378;212212;24;1;Canada;Amazon
20/04/2020;Melatonin;Sleep Aid;130;4118;53534;16;0;USA;Amazon
20/04/2020;Biotin;Vitamin;141;4533;639153;15;1;UK;Amazon
20/04/2020;Green Tea Extract;Fat Burner;141;533;75153;24;0;UK;Amazon
20/04/2020;Iron Supplement;Mineral;159;2013;320067;15;2;USA;iHerb
20/04/2020;Electrolyte Powder;Hydration;157;1077;169089;15;1;UK;Amazon
27/04/2020;Whey Protein;Protein;148;2995;44326;21;0;USA;Amazon
27/04/2020;Vitamin C;Vitamin;131;3168;415008;2;2;USA;iHerb
27/04/2020;Fish Oil;Omega;170;2294;38998;11;2;Canada;iHerb
27/04/2020;Multivitamin;Vitamin;154;221;34034;18;0;USA;Walmart
27/04/2020;Pre-Workout;Performance;138;4694;647772;0;0;UK;Walmart
27/04/2020;BCAA;Amino Acid;139;2238;311082;2;1;USA;Walmart
27/04/2020;Creatine;Performance;159;4364;693876;2;4;Canada;Amazon
27/04/2020;Zinc;Mineral;164;5115;83886;23;2;USA;iHerb
27/04/2020;Collagen Peptides;Protein;138;4714;650532;18;1;UK;iHerb
27/04/2020;Magnesium;Mineral;127;5604;711708;15;1;Canada;Walmart
27/04/2020;Ashwagandha;Herbal;141;5477;772257;17;2;UK;Walmart
27/04/2020;Melatonin;Sleep Aid;148;2242;331816;18;1;Canada;Walmart
27/04/2020;Biotin;Vitamin;148;5681;840788;2;3;UK;Walmart
27/04/2020;Green Tea Extract;Fat Burner;142;111;15762;8;1;Canada;iHerb
27/04/2020;Iron Supplement;Mineral;124;5636;698864;3;2;Canada;Walmart
27/04/2020;Electrolyte Powder;Hydration;147;2301;338247;4;0;Canada;iHerb
04/05/2020;Whey Protein;Protein;127;4321;548767;22;2;Canada;iHerb
04/05/2020;Vitamin C;Vitamin;157;2446;384022;8;1;UK;iHerb
04/05/2020;Fish Oil;Omega;150;2784;41760;9;3;Canada;iHerb
04/05/2020;Multivitamin;Vitamin;161;5569;896609;24;1;UK;Walmart
04/05/2020;Pre-Workout;Performance;145;5706;82737;22;0;Canada;iHerb
04/05/2020;BCAA;Amino Acid;146;3516;513336;5;3;Canada;iHerb
04/05/2020;Creatine;Performance;156;5294;825864;19;1;Canada;Amazon
04/05/2020;Zinc;Mineral;154;4368;672672;4;2;Canada;iHerb
04/05/2020;Collagen Peptides;Protein;140;1826;25564;0;2;UK;iHerb
04/05/2020;Magnesium;Mineral;159;1807;287313;2;0;UK;iHerb
04/05/2020;Ashwagandha;Herbal;140;1527;21378;6;1;UK;Walmart
04/05/2020;Melatonin;Sleep Aid;154;1289;198506;1;1;Canada;iHerb
04/05/2020;Biotin;Vitamin;154;3079;474166;11;1;USA;Amazon
04/05/2020;Green Tea Extract;Fat Burner;157;1858;291706;13;1;USA;iHerb
04/05/2020;Iron Supplement;Mineral;166;3663;608058;3;2;USA;iHerb
04/05/2020;Electrolyte Powder;Hydration;133;1714;227962;17;0;USA;Amazon
11/05/2020;Whey Protein;Protein;146;2022;295212;13;1;Canada;iHerb
11/05/2020;Vitamin C;Vitamin;127;3803;482981;16;2;USA;Amazon
11/05/2020;Fish Oil;Omega;141;4617;650997;13;3;UK;iHerb
11/05/2020;Multivitamin;Vitamin;163;3425;558275;8;3;Canada;Amazon
11/05/2020;Pre-Workout;Performance;148;5275;78070;22;1;Canada;Amazon
11/05/2020;BCAA;Amino Acid;128;5018;642304;23;0;USA;Walmart
11/05/2020;Creatine;Performance;127;2947;374269;14;4;Canada;iHerb
11/05/2020;Zinc;Mineral;127;1371;174117;9;2;USA;Walmart
11/05/2020;Collagen Peptides;Protein;152;2101;319352;9;1;Canada;iHerb
11/05/2020;Magnesium;Mineral;127;3321;421767;18;2;USA;iHerb
11/05/2020;Ashwagandha;Herbal;158;2088;329904;17;1;Canada;Amazon
11/05/2020;Melatonin;Sleep Aid;160;1332;21312;19;2;Canada;iHerb
11/05/2020;Biotin;Vitamin;161;5015;807415;13;0;Canada;Walmart
11/05/2020;Green Tea Extract;Fat Burner;156;4711;734916;4;0;Canada;iHerb
11/05/2020;Iron Supplement;Mineral;168;5541;930888;19;2;USA;Walmart
11/05/2020;Electrolyte Powder;Hydration;156;3894;607464;16;0;UK;iHerb
18/05/2020;Whey Protein;Protein;149;2355;350895;5;1;USA;iHerb
18/05/2020;Vitamin C;Vitamin;140;3124;43736;23;1;USA;iHerb
18/05/2020;Fish Oil;Omega;138;4481;618378;1;2;Canada;Amazon
18/05/2020;Multivitamin;Vitamin;156;236;36816;17;1;Canada;iHerb
18/05/2020;Pre-Workout;Performance;175;2623;459025;7;1;Canada;iHerb
18/05/2020;BCAA;Amino Acid;157;3977;624389;7;2;UK;Amazon
18/05/2020;Creatine;Performance;162;4804;778248;5;0;Canada;Walmart
18/05/2020;Zinc;Mineral;157;3162;496434;1;1;Canada;Amazon
18/05/2020;Collagen Peptides;Protein;140;1195;16730;17;1;UK;iHerb
18/05/2020;Magnesium;Mineral;168;2626;441168;23;6;Canada;iHerb
18/05/2020;Ashwagandha;Herbal;163;2245;365935;14;0;Canada;Walmart
18/05/2020;Melatonin;Sleep Aid;144;5033;724752;21;6;USA;Amazon
18/05/2020;Biotin;Vitamin;140;3056;42784;3;0;UK;iHerb
18/05/2020;Green Tea Extract;Fat Burner;145;3831;555495;8;2;UK;Walmart
18/05/2020;Iron Supplement;Mineral;140;4822;67508;16;2;Canada;Amazon
18/05/2020;Electrolyte Powder;Hydration;154;4123;634942;22;2;USA;iHerb
25/05/2020;Whey Protein;Protein;160;4537;72592;1;1;UK;Amazon
25/05/2020;Vitamin C;Vitamin;153;5646;863838;9;1;UK;iHerb
25/05/2020;Fish Oil;Omega;162;3966;642492;1;1;Canada;Amazon
25/05/2020;Multivitamin;Vitamin;156;2866;447096;24;0;UK;Amazon
25/05/2020;Pre-Workout;Performance;150;4486;67290;16;1;Canada;Amazon
25/05/2020;BCAA;Amino Acid;136;3997;543592;4;2;Canada;Walmart
25/05/2020;Creatine;Performance;148;5187;767676;4;0;UK;iHerb
25/05/2020;Zinc;Mineral;161;4498;724178;21;3;UK;Amazon
25/05/2020;Collagen Peptides;Protein;150;1768;26520;14;1;UK;Amazon
25/05/2020;Magnesium;Mineral;171;3964;677844;9;0;Canada;Walmart
25/05/2020;Ashwagandha;Herbal;129;5405;697245;22;2;USA;iHerb
25/05/2020;Melatonin;Sleep Aid;139;543;75477;5;2;USA;Amazon
25/05/2020;Biotin;Vitamin;142;5986;850012;1;3;UK;iHerb
25/05/2020;Green Tea Extract;Fat Burner;149;1312;195488;8;0;UK;Walmart
25/05/2020;Iron Supplement;Mineral;130;1355;17615;5;0;Canada;Amazon
25/05/2020;Electrolyte Powder;Hydration;149;1505;224245;4;0;UK;Amazon
01/06/2020;Whey Protein;Protein;142;2631;373602;7;0;USA;iHerb
01/06/2020;Vitamin C;Vitamin;134;2777;372118;17;0;UK;Walmart
01/06/2020;Fish Oil;Omega;139;1735;241165;9;3;USA;iHerb
01/06/2020;Multivitamin;Vitamin;136;3423;465528;8;1;Canada;Amazon
01/06/2020;Pre-Workout;Performance;162;3903;632286;13;0;USA;Amazon
01/06/2020;BCAA;Amino Acid;154;3439;529606;2;1;Canada;Walmart
01/06/2020;Creatine;Performance;143;1285;183755;1;1;Canada;iHerb
01/06/2020;Zinc;Mineral;158;4336;685088;19;3;Canada;Walmart
01/06/2020;Collagen Peptides;Protein;143;5201;743743;25;3;UK;iHerb
01/06/2020;Magnesium;Mineral;145;3447;499815;19;1;Canada;iHerb
01/06/2020;Ashwagandha;Herbal;149;2807;418243;21;1;Canada;Amazon
01/06/2020;Melatonin;Sleep Aid;144;4812;692928;3;0;Canada;iHerb
01/06/2020;Biotin;Vitamin;178;3839;683342;14;2;UK;Walmart
01/06/2020;Green Tea Extract;Fat Burner;155;3763;583265;9;2;Canada;iHerb
01/06/2020;Iron Supplement;Mineral;135;1926;26001;7;0;Canada;Walmart
